# Summary for AltaiNea.hg19_1000g.22.mod.vcf
# Bin Size=100000

## Differences per 100kb
Position	differences
16000000	44
16100000	147
16200000	230
16300000	269
16400000	156
16500000	103
16600000	146
16800000	831
16900000	891
17000000	729
17100000	133
17200000	286
17300000	494
17400000	120
17500000	111
17600000	371
17700000	259
17800000	344
17900000	371
18000000	319
18100000	290
18200000	261
18300000	239
18400000	231
18500000	227
18600000	197
18700000	311
18800000	431
18900000	267
19000000	264
19100000	311
19200000	275
19300000	125
19400000	167
19500000	257
19600000	339
19700000	252
19800000	274
19900000	227
20000000	193
20100000	396
20200000	245
20300000	150
20400000	94
20500000	6
20600000	225
20700000	207
20800000	164
20900000	286
21000000	190
21100000	142
21200000	208
21300000	249
21400000	224
21500000	200
21600000	117
21700000	84
21800000	63
21900000	174
22000000	105
22100000	150
22200000	158
22300000	210
22400000	188
22500000	405
22600000	540
22700000	430
22800000	417
22900000	290
23000000	481
23100000	244
23200000	285
23300000	157
23400000	175
23500000	258
23600000	287
23700000	471
23800000	321
23900000	281
24000000	259
24100000	438
24200000	460
24300000	143
24400000	108
24500000	116
24600000	299
24700000	196
24800000	159
24900000	197
25000000	462
25100000	294
25200000	291
25300000	247
25400000	121
25500000	217
25600000	491
25700000	249
25800000	298
25900000	291
26000000	118
26100000	249
26200000	284
26300000	222
26400000	173
26500000	193
26600000	232
26700000	395
26800000	197
26900000	202
27000000	237
27100000	206
27200000	228
27300000	304
27400000	266
27500000	251
27600000	200
27700000	206
27800000	229
27900000	183
28000000	261
28100000	224
28200000	82
28300000	156
28400000	179
28500000	172
28600000	139
28700000	163
28800000	144
28900000	159
29000000	209
29100000	366
29200000	303
29300000	168
29400000	248
29500000	413
29600000	158
29700000	117
29800000	236
29900000	230
30000000	108
30100000	176
30200000	188
30300000	154
30400000	128
30500000	145
30600000	141
30700000	118
30800000	212
30900000	240
31000000	282
31100000	122
31200000	175
31300000	119
31400000	225
31500000	180
31600000	154
31700000	154
31800000	183
31900000	309
32000000	240
32100000	194
32200000	245
32300000	347
32400000	285
32500000	358
32600000	340
32700000	302
32800000	255
32900000	277
33000000	164
33100000	255
33200000	134
33300000	139
33400000	191
33500000	327
33600000	177
33700000	333
33800000	259
33900000	249
34000000	225
34100000	210
34200000	229
34300000	157
34400000	191
34500000	197
34600000	133
34700000	400
34800000	376
34900000	312
35000000	268
35100000	259
35200000	277
35300000	195
35400000	235
35500000	217
35600000	224
35700000	256
35800000	349
35900000	329
36000000	360
36100000	246
36200000	252
36300000	185
36400000	251
36500000	306
36600000	230
36700000	194
36800000	245
36900000	295
37000000	203
37100000	240
37200000	226
37300000	206
37400000	288
37500000	248
37600000	314
37700000	309
37800000	230
37900000	272
38000000	182
38100000	116
38200000	116
38300000	95
38400000	140
38500000	330
38600000	175
38700000	245
38800000	190
38900000	124
39000000	172
39100000	162
39200000	234
39300000	310
39400000	284
39500000	286
39600000	216
39700000	263
39800000	207
39900000	211
40000000	191
40100000	205
40200000	161
40300000	127
40400000	209
40500000	239
40600000	197
40700000	256
40800000	196
40900000	158
41000000	203
41100000	145
41200000	150
41300000	189
41400000	264
41500000	176
41600000	228
41700000	193
41800000	195
41900000	233
42000000	221
42100000	235
42200000	168
42300000	247
42400000	205
42500000	270
42600000	231
42700000	239
42800000	196
42900000	260
43000000	302
43100000	294
43200000	131
43300000	192
43400000	268
43500000	249
43600000	217
43700000	259
43800000	305
43900000	176
44000000	157
44100000	149
44200000	167
44300000	191
44400000	275
44500000	279
44600000	276
44700000	249
44800000	302
44900000	308
45000000	322
45100000	297
45200000	326
45300000	197
45400000	339
45500000	268
45600000	418
45700000	204
45800000	216
45900000	246
46000000	197
46100000	212
46200000	243
46300000	307
46400000	196
46500000	209
46600000	212
46700000	251
46800000	340
46900000	347
47000000	436
47100000	421
47200000	325
47300000	405
47400000	323
47500000	337
47600000	260
47700000	346
47800000	203
47900000	298
48000000	206
48100000	255
48200000	292
48300000	239
48400000	368
48500000	229
48600000	346
48700000	381
48800000	315
48900000	234
49000000	352
49100000	516
49200000	311
49300000	265
49400000	403
49500000	426
49600000	100
49700000	337
49800000	375
49900000	238
50000000	294
50100000	217
50200000	203
50300000	364
50400000	325
50500000	174
50600000	270
50700000	295
50800000	308
50900000	305
51000000	298
51100000	210
51200000	67

## SNP 4x4 matrix (REF x ALT)
REF	A	C	G	T
A	9065898	3229	11693	3137
C	3511	8345612	3338	12762
G	12756	3481	8339632	3419
T	3037	11495	3243	9024951

